City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,arkhangel'sk,64.5401,40.5433,4.51,94,100,6.83,RU,1697212292
83,kavaratti,10.5669,72.642,28.4,72,31,1.92,IN,1697212697
84,hastings,50.8552,0.5729,19.99,30,100,10.03,GB,1697212723
85,taltal,-25.4,-70.4833,18.73,65,9,2.32,CL,1697212035
86,lodwar,3.1191,35.5973,34.82,28,21,4.18,KE,1697212837
87,vranje,42.5514,21.9003,18.84,45,48,1.29,RS,1697212837
88,sao jose da coroa grande,-8.8978,-35.1478,28.26,67,33,5.5,BR,1697212471
89,petropavlovsk-kamchatsky,53.0452,158.6483,3.03,73,75,6.71,RU,1697212246
90,jindabyne,-36.4167,148.6333,7.35,91,96,2.3,AU,1697212724
91,cooper's town,26.8667,-77.5167,28.67,83,100,5.36,BS,1697212513
92,mirpur sakro,24.5474,67.6277,27.82,68,0,5.31,PK,1697212837
93,praia da vitoria,38.7333,-27.0667,21.53,83,40,3.38,PT,1697212241
94,cambria,35.5641,-121.0808,19.99,39,100,1.0,US,1697212838
95,boac,13.4463,121.84,27.73,78,18,3.18,PH,1697212838
96,mount gambier,-37.8333,140.7667,12.38,77,100,5.71,AU,1697212287
97,shahrak,34.1074,64.3052,7.76,69,0,1.56,AF,1697212838
98,ottobeuren,47.9333,10.3,23.19,40,0,3.09,DE,1697212838
99,taroa,8.7058,171.2275,27.95,75,34,2.58,MH,1697212839
100,curillo,1.0333,-75.9191,34.59,42,29,1.93,CO,1697212839
101,atafu village,-8.5421,-172.5159,28.6,74,91,9.82,TK,1697212252
102,pemangkat,1.1667,108.9667,28.74,74,100,2.89,ID,1697212839
103,new plymouth,-39.0667,174.0833,13.23,88,77,6.96,NZ,1697212839
104,papatowai,-46.5619,169.4708,9.3,79,100,2.12,NZ,1697212257
105,broken hill,-31.95,141.4333,14.72,61,0,3.85,AU,1697212187
106,linxia chengguanzhen,35.6003,103.2064,8.0,79,2,1.18,CN,1697212840
107,kantang,7.4054,99.5156,25.11,93,41,0.42,TH,1697212840
108,dudinka,69.4058,86.1778,1.49,93,100,6.71,RU,1697212285
109,juan griego,11.0817,-63.9655,36.07,52,8,6.17,VE,1697212840
110,katsuura,35.1333,140.3,14.6,73,33,2.18,JP,1697212841
111,haiku-pauwela,20.9219,-156.3051,24.47,86,11,4.57,US,1697212256
112,codrington,-38.2667,141.9667,12.83,80,100,7.73,AU,1697212465
113,port macquarie,-31.4333,152.9167,10.5,82,0,1.1,AU,1697212805
114,college,64.8569,-147.8028,-0.03,83,100,0.0,US,1697212841
115,petra,30.3222,35.4793,21.0,35,0,3.6,JO,1697212841
116,farafangana,-22.8167,47.8333,23.89,79,25,4.35,MG,1697212842
117,hawaiian paradise park,19.5933,-154.9731,21.61,93,0,2.06,US,1697212242
118,albany,42.6001,-73.9662,14.14,57,7,0.89,US,1697212842
119,kuta,-8.7233,115.1723,26.97,88,40,5.36,ID,1697212251
120,puerto natales,-51.7236,-72.4875,13.25,47,40,9.26,CL,1697212842
121,karaman,37.0833,33.25,17.0,34,0,2.7,TR,1697212842
122,kunyang,27.6658,120.5658,19.93,89,90,0.5,CN,1697212842
123,lospalos,-8.5186,127.0025,21.95,89,48,1.78,TL,1697212842
124,aykhal,66.0,111.5,-4.41,78,98,4.92,RU,1697212843
125,yar,58.249,52.1026,6.9,77,82,7.92,RU,1697212743
126,neelankarai,12.9455,80.2575,29.03,84,40,2.57,IN,1697212843
127,pisco,-13.7,-76.2167,21.03,73,0,3.6,PE,1697212256
128,berdigestyakh,62.0989,126.6992,-2.06,69,56,5.81,RU,1697212843
129,la'ie,21.6477,-157.9253,25.06,80,11,1.34,US,1697212283
130,shingu,33.7333,135.9833,15.77,84,60,2.03,JP,1697212253
131,keflavik,64.0049,-22.5624,2.24,60,75,9.77,IS,1697212272
132,kearney,40.6995,-99.0815,7.84,82,100,13.38,US,1697212648
133,minas de marcona,-15.2119,-75.1103,21.25,55,17,5.39,PE,1697212260
134,okhotsk,59.3833,143.3,-1.04,80,100,3.02,RU,1697212281
135,rabaul,-4.1967,152.1721,27.01,82,86,3.2,PG,1697212844
136,igarka,67.4667,86.5833,0.39,94,97,5.26,RU,1697212844
137,fort st. john,56.2499,-120.8529,1.94,100,20,1.54,CA,1697212722
138,ghadamis,30.1337,9.5007,30.25,19,0,4.16,LY,1697212499
139,geraldton,-28.7667,114.6,17.23,77,6,3.6,AU,1697212257
140,goundam,16.4145,-3.6708,39.15,12,8,1.45,ML,1697212300
141,chibougamau,49.9168,-74.3659,7.79,100,100,3.09,CA,1697212299
142,aracati,-4.5617,-37.7697,33.06,46,0,7.35,BR,1697212796
143,tolanaro,-25.0319,46.9987,25.04,83,20,7.2,MG,1697212741
144,vail,32.0479,-110.712,24.29,38,19,0.89,US,1697212582
145,al khaburah,23.9886,57.0984,28.22,74,0,0.96,OM,1697212845
146,kerikeri,-35.2268,173.9474,9.39,91,11,1.92,NZ,1697212311
147,ambovombe,-25.1667,46.0833,26.26,69,10,3.74,MG,1697212845
148,sinabang,2.4803,96.3801,25.75,87,100,3.39,ID,1697212322
149,roccella ionica,38.322,16.4009,22.67,76,17,1.95,IT,1697212846
150,bel ombre,-4.6167,55.4167,27.91,78,20,1.54,SC,1697212497
151,viedma,-40.8135,-62.9967,20.77,24,4,3.97,AR,1697212179
152,lihue,21.9789,-159.3672,22.58,94,0,3.09,US,1697212669
153,isafjordur,66.0755,-23.124,0.02,64,75,1.54,IS,1697212846
154,andovoranto,-18.95,49.1,21.6,90,25,1.08,MG,1697212846
155,fort bragg,35.139,-79.006,24.34,69,0,3.6,US,1697212260
156,stanley,54.868,-1.6985,11.7,68,20,9.26,GB,1697212251
157,pangody,65.85,74.4859,0.78,98,100,6.05,RU,1697212261
158,cidreira,-30.1811,-50.2056,16.45,62,43,4.47,BR,1697212485
159,port lincoln,-34.7333,135.8667,13.96,75,82,6.55,AU,1697212259
160,port mathurin,-19.6833,63.4167,22.73,75,33,5.72,MU,1697212607
161,arcachon,44.5875,-1.0519,26.18,53,0,4.12,FR,1697212847
162,mossel bay,-34.1831,22.146,17.96,79,40,2.67,ZA,1697212259
163,birao,10.2849,22.7882,30.53,47,10,1.58,CF,1697212269
164,pelotas,-31.7719,-52.3425,19.01,66,75,4.12,BR,1697212847
165,souillac,-20.5167,57.5167,23.21,68,75,1.03,MU,1697212458
166,kandyagash,49.4744,57.4233,7.81,59,97,6.48,KZ,1697212848
167,temiskaming shores,47.4938,-79.7153,6.89,82,100,2.56,CA,1697212763
168,glace bay,46.1969,-59.957,16.82,84,75,2.24,CA,1697212265
169,klyuchi,52.2667,79.1667,6.15,54,28,3.28,RU,1697212284
170,kangding,30.0513,101.9603,7.81,80,100,1.2,CN,1697212848
171,kailua-kona,19.6406,-155.9956,24.22,82,0,1.79,US,1697212848
172,ylitornio,66.3089,23.6773,-5.31,98,10,0.81,FI,1697212848
173,lebu,-37.6167,-73.65,11.98,68,98,8.35,CL,1697212704
174,ta`u,-14.2336,-169.5144,26.67,75,86,8.97,AS,1697212283
175,nanao,37.05,136.9667,12.93,67,100,2.47,JP,1697212849
176,santa cruz,-17.8,-63.1667,23.7,33,75,11.32,BO,1697212815
177,nieuw amsterdam,5.8833,-55.0833,35.57,54,40,4.12,SR,1697212509
178,sitka,57.0531,-135.33,13.94,62,100,7.2,US,1697212271
179,opuwo,-18.0607,13.84,32.28,13,30,7.68,NA,1697212262
180,pulgaon,20.7333,78.3333,27.75,53,100,1.47,IN,1697212849
181,nar'yan-mar,67.6713,53.087,1.17,76,100,4.02,RU,1697212283
182,tarnogskiy gorodok,60.4997,43.5761,4.43,86,100,5.84,RU,1697212849
183,beledweyne,4.7358,45.2036,32.58,46,100,4.45,SO,1697212850
184,aripuana,-9.1667,-60.6333,40.77,24,8,1.37,BR,1697212850
185,illizi,26.4833,8.4667,33.89,14,12,5.23,DZ,1697212739
186,kribi,2.95,9.9167,26.97,83,64,5.42,CM,1697212850
187,kuchaiburi,22.2667,86.1667,24.41,64,12,1.3,IN,1697212850
188,puerto deseado,-47.7503,-65.8938,11.2,55,58,3.53,AR,1697212290
189,xinyu,27.8043,114.9334,18.38,86,89,1.18,CN,1697212850
190,alice springs,-23.7,133.8833,10.75,30,0,0.0,AU,1697212051
191,thurso,58.5927,-3.5259,9.14,69,48,17.16,GB,1697212851
192,hermanus,-34.4187,19.2345,15.87,75,57,3.65,ZA,1697212846
193,caras,-9.0467,-77.8114,21.83,57,18,4.79,PE,1697212851
194,latrobe,40.3212,-79.3795,17.3,53,9,1.34,US,1697212851
195,fisterra,42.9049,-9.2629,19.3,86,0,3.1,ES,1697212851
196,komadi,47.0,21.5,22.75,57,99,2.93,HU,1697212851
197,bor,56.3567,44.0669,10.56,69,13,6.63,RU,1697212851
198,belmonte,-15.8631,-38.8828,28.52,65,100,6.2,BR,1697212460
199,puri,19.8,85.85,29.29,77,65,2.39,IN,1697212852
200,deqen,29.9618,90.7188,4.35,64,96,1.99,CN,1697212852
201,dolbeau-mistassini,48.8763,-72.212,12.36,83,100,4.48,CA,1697212798
202,nieves,15.3274,120.9485,28.73,91,38,0.69,PH,1697212852
203,cookeville,36.1628,-85.5016,23.88,60,0,3.09,US,1697212852
204,visby,57.6409,18.296,10.58,87,75,9.26,SE,1697212487
205,bilibino,68.0546,166.4372,-6.69,95,100,1.57,RU,1697212592
206,labytnangi,66.6572,66.4183,0.14,99,100,1.92,RU,1697212497
207,st. john's,47.5649,-52.7093,14.26,94,100,6.69,CA,1697212229
208,aswan,24.0934,32.907,32.61,25,0,6.69,EG,1697212022
209,salem,11.65,78.1667,24.86,68,62,2.28,IN,1697212595
210,el porvenir,13.7617,-87.3458,31.35,70,94,3.01,HN,1697212853
211,taoudenni,22.6783,-3.9836,36.86,9,0,4.49,ML,1697212299
212,pitiquito,30.7,-112.0833,24.83,48,1,3.31,MX,1697212853
213,lamar,33.6668,-95.5836,22.02,92,100,4.63,US,1697212853
214,north bend,43.4065,-124.2243,12.14,93,75,2.57,US,1697212854
215,polyarnyy,69.1989,33.4478,2.09,79,87,3.05,RU,1697212279
216,villa gesell,-37.2639,-56.973,17.54,42,0,5.35,AR,1697212499
217,uturoa,-16.7333,-151.4333,25.86,75,7,8.4,PF,1697212854
218,kapuskasing,49.4169,-82.4331,8.05,93,100,3.6,CA,1697212811
219,shakhtersk,48.0625,38.5167,13.56,74,100,2.7,UA,1697212854
220,xiaoweizhai,26.1903,107.5125,13.8,98,100,1.41,CN,1697212854
221,puerto baquerizo moreno,-0.9,-89.6,25.55,83,75,4.63,EC,1697212256
222,nemuro,43.3236,145.575,13.25,70,0,2.62,JP,1697212281
223,guadalupe y calvo,26.1,-106.9667,17.26,64,2,0.9,MX,1697212855
224,qaqortoq,60.7167,-46.0333,5.55,55,16,1.31,GL,1697212259
225,al jawf,29.5,38.75,28.23,22,0,4.44,SA,1697212521
226,otjiwarongo,-20.4637,16.6477,29.84,10,0,8.43,NA,1697212860
227,prince george,53.9166,-122.753,4.23,100,100,1.79,CA,1697212851
228,formosa do rio preto,-11.0483,-45.1931,39.41,16,1,2.32,BR,1697212860
229,shimoda,34.6667,138.95,17.61,60,30,1.81,JP,1697212495
230,namtsy,62.7161,129.6658,-2.2,67,19,4.62,RU,1697212860
231,ke-macina,13.9623,-5.3572,37.79,22,81,1.63,ML,1697212861
232,khandyga,62.6667,135.6,-6.81,97,100,0.84,RU,1697212290
233,kapa'a,22.0752,-159.319,22.99,94,0,3.09,US,1697212288
234,stornoway,58.2093,-6.3865,8.98,84,40,14.92,GB,1697212861
235,mata-utu,-13.2816,-176.1745,27.37,81,9,8.58,WF,1697212289
236,portland,45.5234,-122.6762,16.16,70,99,4.47,US,1697212854
237,farasan,16.7022,42.1183,31.2,66,0,3.1,SA,1697212861
238,san luis de la loma,17.2706,-100.8939,28.19,73,21,1.43,MX,1697212277
239,sarakhs,36.5449,61.1577,14.45,18,0,3.9,IR,1697212862
240,sur,22.5667,59.5289,30.35,66,0,2.46,OM,1697212854
241,invercargill,-46.4,168.35,11.68,72,96,1.79,NZ,1697212862
242,abong mbang,3.9833,13.1833,25.98,80,36,0.72,CM,1697212862
243,tralee,52.2704,-9.7026,12.14,62,0,5.66,IE,1697212862
244,pocatello,42.8713,-112.4455,8.34,83,0,2.24,US,1697212753
245,zmeinogorsk,51.1567,82.195,3.47,92,100,1.86,RU,1697212863
246,susuman,62.7833,148.1667,-12.23,84,100,0.89,RU,1697212293
247,inari,68.906,27.0288,-1.89,92,11,1.43,FI,1697212863
248,chipinge,-20.1883,32.6236,30.52,19,24,3.01,ZW,1697212863
249,muynoq,43.7683,59.0214,12.2,51,3,3.74,UZ,1697212274
250,aoulef,26.9667,1.0833,34.14,12,100,5.82,DZ,1697212864
251,mana,5.6592,-53.7767,32.31,59,98,4.71,GF,1697212471
252,taghazout,30.5426,-9.7112,36.43,20,31,2.99,MA,1697212864
253,vallenar,-28.5708,-70.7581,27.39,22,75,3.17,CL,1697212491
254,nikopol,47.5712,34.3964,14.68,69,92,2.2,UA,1697212864
255,laojunmiao,39.8333,97.7333,8.48,29,0,1.65,CN,1697212303
256,krasnyy chikoy,50.3643,108.7512,7.35,73,75,1.79,RU,1697212302
257,port douglas,-16.4833,145.4667,22.06,76,78,3.12,AU,1697212865
258,gao,16.6362,1.637,38.87,9,7,3.04,ML,1697212865
259,linfen,36.0889,111.5189,17.68,38,16,2.22,CN,1697212865
260,pali,25.7667,73.3333,30.12,34,3,3.16,IN,1697212865
261,obo,5.3998,26.4869,26.85,66,73,1.45,CF,1697212865
262,taro,-8.3862,115.28,23.0,97,96,0.23,ID,1697212866
263,porto novo,6.4965,2.6036,29.9,74,77,4.73,BJ,1697212322
264,rikaze,29.25,88.8833,8.0,51,88,2.89,CN,1697212866
265,vorgashor,67.5833,63.95,-0.88,75,100,3.16,RU,1697212866
266,nishinoomote,30.7333,131.0,23.35,71,91,5.86,JP,1697212866
267,hasaki,35.7333,140.8333,12.22,59,26,4.82,JP,1697212285
268,vadso,70.0744,29.7487,1.49,80,40,1.54,NO,1697212866
269,puerto lempira,15.2667,-83.7667,31.08,66,20,4.12,HN,1697212867
270,northam,51.0333,-4.2167,12.44,93,100,10.22,GB,1697212867
271,hamilton,39.1834,-84.5333,21.89,62,0,2.24,US,1697212867
272,nevel'sk,46.6733,141.8633,11.7,89,1,0.73,RU,1697212867
273,guerrero negro,27.9769,-114.0611,19.52,70,3,1.37,MX,1697212463
274,launceston,-41.45,147.1667,12.11,87,40,8.23,AU,1697212868
275,leava,-14.3,-178.1667,26.9,84,87,8.47,WF,1697212525
276,munduk,-8.2687,115.0795,16.37,95,99,1.28,ID,1697212868
277,tevriz,57.509,72.4042,5.2,73,100,4.44,RU,1697212868
278,thompson,55.7435,-97.8558,6.09,93,0,2.06,CA,1697212661
279,bontang,0.1333,117.5,26.95,82,98,3.25,ID,1697212868
280,treinta y tres,-33.2333,-54.3833,15.71,48,0,1.85,UY,1697212802
281,gaspe,48.8334,-64.4819,11.95,100,100,2.06,CA,1697212184
